% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {2-0, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6} 

@DATA 
39915.0,213.0,196.0,176.0,184.0,224.0,504.0,4762.0,5167.0,5419.0,8712.0,16258.0,20115.0,23251.0,22727.0,21165.0,7620.0,863.0,0.0,0.0,0.0,0.0,40409.0,2810.0,14725.0,30908.0,47263.0,17119.0,9312.0,7209.0,5711.0,1853.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41050.0,6662.0,24420.0,35493.0,35137.0,12920.0,8720.0,6823.0,4791.0,1385.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
49210.0,205.0,197.0,180.0,197.0,222.0,313.0,3463.0,5477.0,6129.0,8878.0,11684.0,15952.0,20269.0,22798.0,18189.0,13855.0,6994.0,0.0,0.0,0.0,0.0,49460.0,1238.0,12341.0,38566.0,34295.0,11978.0,10054.0,9373.0,11545.0,5362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49571.0,4144.0,27486.0,35610.0,23949.0,9801.0,9737.0,8919.0,10742.0,4253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
38178.0,200.0,180.0,170.0,183.0,198.0,523.0,5211.0,6596.0,7436.0,9917.0,12025.0,16568.0,21026.0,18423.0,18258.0,11924.0,2178.0,0.0,0.0,0.0,0.0,38371.0,441.0,10679.0,45051.0,32624.0,12702.0,10164.0,7375.0,8351.0,3434.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38390.0,1132.0,24203.0,47431.0,21002.0,11346.0,8632.0,6980.0,7790.0,2288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
42388.0,196.0,193.0,181.0,182.0,206.0,482.0,5215.0,7021.0,7618.0,10781.0,13422.0,17628.0,21085.0,20296.0,17223.0,14054.0,10187.0,992.0,0.0,0.0,0.0,42607.0,914.0,25217.0,46405.0,22493.0,16652.0,12066.0,8616.0,8517.0,5783.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42670.0,5203.0,42551.0,34364.0,19011.0,14535.0,10980.0,7695.0,7721.0,4603.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
60952.0,238.0,249.0,196.0,252.0,304.0,398.0,4488.0,6668.0,7366.0,10167.0,12533.0,16548.0,18908.0,21567.0,26392.0,17425.0,3799.0,0.0,0.0,0.0,0.0,61318.0,2029.0,14174.0,36271.0,39391.0,18691.0,11068.0,12988.0,11058.0,1461.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61486.0,5037.0,20570.0,44052.0,29064.0,14677.0,10783.0,13373.0,8607.0,799.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
62822.0,248.0,188.0,203.0,230.0,306.0,480.0,4231.0,7120.0,7261.0,9233.0,10176.0,14900.0,23450.0,28137.0,31768.0,18099.0,5336.0,12.0,0.0,0.0,0.0,63089.0,1146.0,16148.0,31944.0,47112.0,27488.0,14609.0,11921.0,8087.0,2618.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63184.0,5323.0,22381.0,42864.0,36912.0,21677.0,11730.0,11392.0,6600.0,2106.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
42557.0,218.0,197.0,186.0,203.0,222.0,1448.0,7278.0,8288.0,9666.0,12035.0,14944.0,20406.0,24031.0,28466.0,17182.0,7882.0,73.0,0.0,0.0,0.0,0.0,42866.0,4571.0,26057.0,44590.0,34459.0,16365.0,9998.0,8262.0,6552.0,1558.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43601.0,12702.0,36571.0,36394.0,29118.0,12928.0,9591.0,7733.0,5496.0,1144.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
38629.0,196.0,181.0,182.0,153.0,201.0,409.0,5347.0,7419.0,8263.0,10405.0,11184.0,14431.0,17137.0,19156.0,21887.0,12822.0,202.0,0.0,0.0,0.0,0.0,38824.0,895.0,27109.0,36569.0,26510.0,11461.0,8872.0,8659.0,7898.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38847.0,6954.0,37314.0,32589.0,19254.0,9734.0,8688.0,7813.0,6198.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
42408.0,230.0,192.0,169.0,203.0,198.0,312.0,3598.0,6527.0,7274.0,9823.0,12116.0,14796.0,17686.0,20860.0,22853.0,17912.0,11109.0,1814.0,0.0,0.0,0.0,42904.0,3985.0,15720.0,34214.0,33409.0,21578.0,10957.0,7322.0,9650.0,8631.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43770.0,8857.0,25131.0,33905.0,28941.0,16171.0,8578.0,6639.0,9185.0,7954.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
56614.0,244.0,199.0,213.0,214.0,242.0,457.0,5158.0,8310.0,9160.0,12414.0,13316.0,17629.0,27674.0,30359.0,30820.0,23954.0,8635.0,10.0,0.0,0.0,0.0,56839.0,379.0,2430.0,27589.0,70867.0,34899.0,16101.0,12274.0,16861.0,7054.0,260.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56855.0,522.0,6629.0,51751.0,58409.0,25697.0,12932.0,13779.0,13717.0,5075.0,204.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
