% 
% 
@RELATION Moments 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE class {2-0, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6} 

@DATA 
65.4096327851529,46.77256749897478,-0.37932317114699204,-1.3070255990841018,2-0
68.6601738934056,43.29796544094188,-0.6104621931444932,-0.95548753873735,2-0
67.60266654079199,44.15598450339619,-0.48645670430668525,-0.9838882399822197,2-0
67.00687178635866,41.69679989208416,-0.6049283357729484,-0.9093725964627217,2-0
63.2640341751912,42.89099047982986,-0.3353370727974692,-1.0534142846848622,2-0
68.10169130511956,50.48533552830664,-0.22234024565666724,-1.3024685861288836,2-0
66.55222067694976,46.35560240758271,-0.34514303498277044,-1.2143940294584121,2-0
68.53547286047286,48.03222148388262,-0.31099100257365386,-1.1717912690613768,2-0
66.45162147378292,41.22530521346699,-0.39319315466636645,-0.7392226886947353,2-0
77.5843179377014,50.3263656999232,-0.42505680388209377,-1.0098564544423931,2-0
67.3917654151946,40.680889292465565,-0.6086842151728097,-0.7307455038041359,2-0
66.8454118081341,45.59049319011122,-0.3365260720417931,-1.0693790661706637,2-0
68.19930375781647,42.11610602580832,-0.4794333416906782,-0.7740760796499266,2-0
68.68408766833906,43.28787191897175,-0.360506216894004,-0.8022582303675971,2-0
64.04894219237227,45.72698962835558,-0.32312798840305407,-1.2498329067105798,2-0
65.86961641391615,45.19997748458938,-0.4306840019051433,-1.180169608851568,2-0
65.30831822697432,39.82705284132992,-0.4848844269651003,-0.7419922334031415,2-0
65.85068131554542,41.43014853618879,-0.42682434160316524,-0.8375209173482054,2-0
71.81185816498316,45.136605866015046,-0.39730831047397736,-0.8445826667021552,2-0
73.3219459168967,44.499065199888136,-0.6327921893221456,-0.7904667404705368,2-0
57.37218597965502,38.959491779561404,-0.3527918502355236,-0.9935928012825959,2-0
68.45187194791102,40.20095872247091,-0.6953546379481894,-0.7171793438071412,2-0
66.98723378710973,41.52971294769765,-0.48748633738235475,-0.8751916123446031,2-0
62.57735581188997,40.715840182700774,-0.36295386198172747,-0.929175062243047,2-0
70.70599260731596,41.57060922454048,-0.6616170651565008,-0.6217091684138119,2-0
69.38212281401262,46.598474987452605,-0.2863186733012987,-1.0356567385342839,2-0
69.88994644674375,48.45630334777767,-0.4103670892556138,-1.203599572192695,2-0
69.16679885855181,43.16266485896466,-0.5926540723867078,-0.8907326258311552,2-0
64.11071732966899,43.31337758140425,-0.3017211424879595,-0.9940770720531362,2-0
67.49760412184087,46.374921313331605,-0.3645143213768408,-1.1513050787946315,2-0
73.2680298146656,46.57037630375491,-0.45756942675221113,-0.9150309441115554,2-0
73.29547393112271,42.370494822674424,-0.6346431748204548,-0.5626878145509835,2-0
65.93748250386436,40.52257165792411,-0.6255666765951147,-0.8106573301729787,2-0
69.60023508137432,41.34658314903275,-0.5777871586343619,-0.6168742686412503,2-0
62.23888764171063,46.62042312555791,-0.18684868342307975,-1.317983571390728,2-0
79.32794799584983,48.231471016461704,-0.5547173676688743,-0.7981090213058954,2-0
67.73391714580569,40.43863584626606,-0.673057223418203,-0.7539617019522682,2-0
71.98881766715014,42.61699700471992,-0.6282597185177523,-0.7902394535789532,2-0
73.17783544303798,45.5268205117737,-0.5802257206726397,-0.8609397957674818,2-0
68.77869818450989,42.55570979133599,-0.6298273784892972,-0.8542610906033827,2-0
69.91129159937937,46.45537555366993,-0.42453974876461786,-1.0086528313375864,2-0
73.24010425617232,43.07939830623614,-0.758363297497261,-0.7015513226465862,2-0
78.4784398757897,46.4600927924253,-0.5661314104458454,-0.7247520991867646,2-0
71.24560924168344,41.95990051442799,-0.6479787392104652,-0.6722875209907984,2-0
73.24869906185869,41.16652069270048,-0.8121929390802375,-0.5084231434750643,2-0
75.23138021374808,48.02323743370129,-0.4862021770314926,-0.9896359945922755,2-0
73.07208779932299,43.699221938160704,-0.6772929748414386,-0.7725657103877892,2-0
74.34378180039138,45.9487650244103,-0.5976604394979453,-0.887718390967239,2-0
70.97337311516722,42.95423188602735,-0.512885108638372,-0.7429086177233026,2-0
70.16075089006365,43.95627330092647,-0.4273276144013594,-0.8584295170411593,2-0
66.81057179133437,42.722652582393444,-0.47118942464707997,-0.9158135835257664,2-0
72.20730804698117,42.34304886510297,-0.7599431177989387,-0.6737995544817892,2-0
65.0236790788374,41.37931730325498,-0.3839607886033843,-0.7746418739354728,2-0
63.23613727542299,40.76456696830011,-0.4924065900129602,-0.9478796215624832,2-0
71.22546232282588,43.007387816138554,-0.5138879704518511,-0.7258063167198001,2-0
73.97578239635575,46.646867962988566,-0.4545915804189075,-0.9253397510117742,2-0
73.73088710870623,45.5748776593526,-0.6550936433911987,-0.8968841054591556,2-0
74.12056693756888,45.73958500334671,-0.43463723628923806,-0.8218694670793139,2-0
71.43422459893048,41.821965737955615,-0.5954622056027301,-0.5840540613094496,2-0
68.95535810100229,42.89263120733114,-0.42859447359846753,-0.758886697033974,2-0
74.25492222343087,42.558062112979385,-0.7819406386351144,-0.6862395351115498,2-0
70.94674813587407,40.95948567350347,-0.7360590510751653,-0.5995559695405142,2-0
69.00297050086762,46.26392055732056,-0.3013861412838728,-1.0602728175671425,2-0
67.6320090739879,40.21513786314101,-0.4871387855176944,-0.5614013700789737,2-0
62.80940299859824,39.217608545334365,-0.4926136265905524,-0.8213857223979266,2-0
68.45585660941,39.170314308003604,-0.6698860862605991,-0.5496234285095589,2-0
70.03185592328383,42.94042866080311,-0.5434810728667193,-0.8769867349368363,2-0
66.6493731346565,42.155922152787966,-0.49157634097033903,-0.8871969381914777,2-0
64.19416988820394,40.292334131569746,-0.3465569253451175,-0.6868260543776787,2-0
66.6027777459856,41.671295451916855,-0.5001063716702316,-0.8338999259042787,2-0
69.74637318083127,40.966878077934666,-0.5644039697472072,-0.6107475695384568,2-0
64.44396829950513,44.26964213532219,-0.2784348668358292,-0.9855818732724084,2-0
69.03207925999727,44.589023922755615,-0.4682465426898396,-0.9368009032576681,2-0
67.45986288594332,44.60739449656963,-0.3360902133804287,-0.8785714154179143,2-0
71.4261157171885,42.65262780094865,-0.7041931442037761,-0.7105016379022397,2-0
71.95185624682149,43.090832305936146,-0.5845602345732898,-0.6516550941306636,2-0
76.6603430420712,44.25701630186742,-0.7760804209279811,-0.6389090835526448,2-0
73.21634478753506,44.48283317499102,-0.5637122479876661,-0.7712146088232332,2-0
68.73551738796782,45.64581246915952,-0.4830807549268845,-1.1133742812231788,2-0
72.89102050886972,42.26769272004873,-0.6266350760772377,-0.5353060799839855,2-0
64.89235627995318,45.348427476222476,-0.37492897993142965,-1.14341425827545,2-0
66.35214662101454,42.78858025016589,-0.4637797331391945,-0.9752332032706423,2-0
66.70778316608249,43.40768943785723,-0.49800615625503547,-0.9940955987449542,2-0
74.907677450507,43.700279421586146,-0.7213359631597607,-0.6394907009388535,2-0
75.8579371542501,43.589447901781384,-0.8504960761304954,-0.6546221863215265,2-0
76.25319556569556,42.71530904839499,-0.8384894839432396,-0.5283839519008042,2-0
72.14456261586763,42.219227404649004,-0.6624364511483614,-0.6169156612273095,2-0
69.13759181939682,46.42586739968689,-0.4603632045935097,-1.0814586689990657,2-0
61.43739435168007,44.760441273410706,-0.20637974201277334,-1.179802256551218,2-0
63.33139243131156,41.32603160973896,-0.45613571427328947,-0.9467087602683306,2-0
63.72215321839338,45.27870579432653,-0.22780460875708217,-1.1443289097513034,2-0
56.728652653119376,39.418123356413766,-0.3700379195058083,-1.0945760130639028,2-0
68.53198444165385,46.71653230390968,-0.2799663509901715,-1.035223104650203,2-0
67.63603626037361,40.9095011154153,-0.5741363443273247,-0.6988871460884067,2-0
73.36681822487449,49.31744012082957,-0.4348131954995461,-1.1398412399461237,2-0
67.27977106496292,45.78068449819481,-0.45729709199020513,-1.1696704959901392,2-0
69.53970169766274,43.12258717967932,-0.6469411515916395,-0.8866458964237238,2-0
67.83931188065533,49.21654375576179,-0.30631151632942466,-1.3149994740734787,2-0
73.95665692787308,46.40884250303424,-0.42854172298992027,-0.9207844096779771,2-0
71.14711361502347,45.07051326993011,-0.6113832396900888,-0.9710918606759225,2-0
70.32053194751805,50.90666959640021,-0.23946468391403508,-1.3073226628809094,2-0
66.53467689606474,41.97012311911934,-0.3301457049666814,-0.7898189699064551,2-0
64.68624035925473,45.45913686768994,-0.3692666380618416,-1.2181963488440561,2-0
70.65005317783401,48.57765649898172,-0.41790099451688456,-1.2008154212467181,2-0
71.06233240481066,44.04247049669265,-0.6868348749978381,-0.8832442920974204,2-0
64.02853454415954,46.3858655878586,-0.2216393164894006,-1.222997587750582,2-0
62.153779269624295,43.062819108516145,-0.2557056710006607,-1.0261015530699862,2-0
69.28584161523172,46.08103701763766,-0.539165688213258,-1.1446305395161134,2-0
68.9610690504424,46.211017288850535,-0.40478206884035894,-1.0581919339288262,2-0
61.333026949348664,44.716400927892984,-0.1968856561746777,-1.211579530601538,2-0
60.96376893298756,40.039268771924725,-0.4434552821130538,-0.9207147578126453,2-0
65.49020995832888,42.34926717126554,-0.24581361054910572,-0.8368066740574798,2-0
